mot_moore;sens_num;categorie_grammaticale;prononciation;definition_francais;definition_english;variante;pluriel;domaine;synonymes;antonymes
wũgi;2;Verbe;;être tapi, caché;be crouched, cowered, squat, hidden;wũbindame;;;;
wuki;1;Verbe;ú-ì;enfler, gonfler, boursoufler, ballonner;swell, inflate, bloat;;wugsi;;pĩinigi, mode;
wuki;2;Verbe;ú-ì;bouder;sulk;;;;;
wuk-m-menga;;Nom;ù-è-á;vantardise, orgueilleux;boastfulness, bragging, proud;;wuk-m-mense;;;
wula;;Adverbe;ú;chaud et enfermé;hot and cooped up, sticky;;;;;
wul-faaga;;Nom;;brume;mist, fog;;;Weather, Sky;gulgubri, gãngãdo, wuswulli;
wulfu;;Adjectif;ú;petit (en parlant d'ouverture);small (opening);;;;munfu;
wulgu;;Nom;ú;brume, brouillard;haze, mist, fog, smog;wul-faaga;;Weather;gãngãdo, gãngãobgo, wuswulli;
wulli;;Adverbe;ú;chaud, étouffant;hot, sticky, suffocating, sultry, sweltering, airless;;;;;
wulmi;;Verbe;ù;chauffer, étouffer;to heat, warm a space / the environs, warm up, stoke, suffocate;;;;;
wũmbla;;Nom;ù-á;petite calebasse;small calabash;wʋmbla;wũmbli;Container;;
wũnugi;;Verbe;ú-ì;couver, faire un accouvage;to brood, make brooding;;wũnusi;;;
wũnusi;;Verbe;ú-ú-ì;s'infecter, faire du pus;to get infected, ulcerated (wound does), produce pus / matter;;;;wũusi1;
wup;;Adverbe;ù;bruit de choc contre le sol;noise of crash to the ground;wura;;;pip;
wupi;;Adverbe;ù;juste, correcte;just, correct, right;;;;mupi;
wurbu;;Nom;;grondement;rumble, roar, growl.;;;;;
wurd-wurdi;;Nom;ú-ú;bousculade, précipitation;jostle, hustle, scrum, precipitation, rush.;wur-wuri;;;;
wurgi;1;Verbe;ú-ì;trouer, perforer, défoncer;to pierce, bore, drill a hole, make a hole, punch, perforate, smash in;;;;;
wurgi;2;Verbe;ú-ì;écorcher, blesser;flay, abrade, scrape, hurt, wound;;wuri;;;
wuri;2;Verbe;ù;se précipiter vers, forcer le passage, presser (foule en débandade);rush, race, go precipitately (of a crowd);;;;;
wuri;3;Verbe;ù;gronder (tonnerre, ventre);to rumble (stomach or thunder), roar, brew of a storm (thunder, belly);;;;rãmbe3, rãmbe3;
wurs;;Nom;;ours;bear;;;Mammal;;
wurungu;;Adjectif;ú-ú-ú;troué, perforé, défoncé;sth;wʋrengo;wurundu;;;
wurungu;2;Nom;;trou, perforation;hole, perforation.;;;;;
wur-wuri;;Adverbe;ù;bruit de grondement du tonnerre;noise of rumbling thunder;;;;;
wusa;;Adverbe;ù;évocation d'une sortie brusque avec force;indicating a sudden and energetic coming outside;;;;purss;
wusdu;;Nom;;espèce de plante;kind of plant;;;Grass, herb, vine;;
wuswulli;;Nom;ú;brouillard;fog, mist;wus-wulli;;Sky;gãngãobgo, gulgubri, wulgu, wul-faaga, gãngãdo;
wuu;;Adverbe;;très gros, immense;very big, immensely, enormously, colossal;;;;;
wũudi;;Verbe;;porter des chaussures, chausser;wear shoes, put on shoes;;;;widi1;
wũugi;;Verbe;í-ì;récurer (puits);clean out (well);;wũ;;;
wuuli;;Verbe;ú-ì;huer;jeer, to boo, shame sb;wuugi;;;;
wũundi;;Verbe;ú-ì;se blottir, se cacher;curl up, nestle, hide;;;;;
wũuni;;Verbe;ú-ì;grogner, bougonner, gronder;snarl, growl;;;;;
wũusi;1;Verbe;;s'infecter;to get infected, ulcerated (wound does);;;;wũnusi;
wũusi;2;Verbe;ú-ì;beugler;low, bellow;;;;muuni;
wuu-waa;;Nom;ù-á;oreillons;mumps;;;Disease;kulkuluudu, koenkoende;
wʋbdo;;Nom;;vomissure, vomissement;vomiting, vomit;;;Disease;yãgsa;
wʋbe;;Verbe;ʋ̀;vomir;vomit;wʋke;;;wʋke3, tĩ1, yãgse;
wʋbre;;Nom;;vomissement;vomiting, vomit.;;;;;
wʋgbo;;Nom;;tissage;weaving.;;;;;
wʋgda;;Nom;;tisserand;weaver;;;Worker;sʋn-wʋgda, sʋlga2;
wʋgda sʋnd;;expression;;tisserand;weaver;;;;;
wʋgdga;;Nom;ʋ́-á;élément grammatical;grammatical element;;;Grammar;;
wʋge;;Verbe;ʋ́;tisser, tresser, tricoter;weave, plait, twine, knit;;;;;
wʋgemde;;Verbe;;se détacher (peau);detach;;wʋgme;;;
wʋgle;;Verbe;ʋ́-è;mâchonner;to chew, munch;wʋglme;;;;
wʋke;1;Verbe;;ramasser;to collect, gather things together;;wʋgse;;;
wʋke;2;Verbe;ʋ́-è;divulguer;divulge, reveal, leak information out;;;;;
wʋke;3;Verbe;;vomir;vomit;wʋbe;;;wʋbe;
wʋkemde;;Nom;ʋ́;plante rampante (espèce);climbing plant sp;;wʋkma;Grass, herb, vine;;
wʋkma;;Nom;;espèce de plante;kind of plant;;;Grass, herb, vine;;
wʋlge;;Verbe;ʋ́-è;faire tremper pour ramollir, humecter, mouiller;soak to make softer, damp, moisten, dampen, to wet;;wʋʋle;;;
wʋma;1;Adverbe;;profondément;deeply.;;;;;
wʋma;2;Adverbe;ʋ́;entièrement, complètement;entirely, completely;;;;;
wʋmb yalg wilgda;;Nom;;ouïe;sense of hearing.;;;;;
wʋmbo;;Nom;ʋ́;action d'entendre;hearing, understanding.;;;;;
wʋmdre;;Nom;ʋ́;son;sound;wʋmdse;;;rãamde;
wʋme;1;Verbe;ʋ̀;entendre;hear;;;;;
wʋme;3;Verbe;ʋ̀;sentir (ex;;;;;;
wʋme;4;Verbe;ʋ́;cuir au four;cook in the oven / stove;wusi;;;;
wʋmm;;Adverbe;;doucement, calmement;softly, gently, smoothly, calmly;;;;;
wʋm-taaba;;Nom;;collaboration, entente;collaboration;;;;zems-taaba;
wʋndɩ;;Nom;;jupe;skirt;;;Clothing;;
wʋndlem;;Nom;ʋ́-é;le fait d'être sourd, surdité;being deaf, deafness;;;Disease;;
wʋnga;;Nom;ʋ́-à;sourd, malentendant;deaf person, deaf;;wʋmse, wʋnse;Sick, Person;tʋb-kɩda;
wʋnge;;Verbe;;assourdir;to make sb;;;;;
wʋrbo;;Nom;;récolte du riz;rice harvest;;;Agriculture;;
wʋre;;Verbe;ʋ́;couper (herbe);cut (grass);;;;;
wʋsg n yɩɩda;;expression;;maximale;maximum.;;;;;
Sẽn zẽk n yɩɩda, sẽn bedem wʋsge;;Verbe;ɩ́-è;être nombreux;be numerous, be many;;;;;
wʋsgo;;Adverbe;ʋ́;beaucoup, nombreux, trop, très, abondant;much, a lot, plenty, abundant, many;wɩsgo;;;yagre1;
wʋʋga;1;Nom;ʋ́-à;varan du Nil;Nile monitor lizard;;wʋʋse;Reptile;;
wʋʋga;2;Nom;ʋ́;fourreau;sheath, scabbard.;wʋʋgo;wʋʋse;;;
wʋʋge;;Verbe;;mouiller, être ramolli par le séjour dans l'eau;wet (get), get softer through soaking in water;;;;;
wʋʋla;;Adverbe;ɩ́-à;mal lavé (en parlant du corps);not well washed (speaking of the body);wʋla;;;;
-y;;Verbe;;particule de l’impératif (injonctif pour la deuxième personne pl.);imperative plural particle;yã;;;;
Come! y;;Pronom;ì;vous;"you (pl.) Y wa y zãng fãa bɩ? Vous venez tous ou bien ? Will all of you come? 2 • votre; your (pl.)";yãmb;;;;
ya;1;Verbe;à;être fatigué, se fatiguer;be tired, get tired;;yaada;;;
ya;2;Verbe;à;est (verbe copulatif);to be (equative), to be sth, is (copula);;;;;
ya;3;auxiliaire;à;enfin, finir par, finalement;finally, ultimately, after all;;;;yaase2;
yã;1;Verbe;á;voir, constater;see, take note;yãe;;;yãnde2;
yã;2;Pronom;á;vous (post verbal), forme moyenne du pronom 2ème personne du pluriel;you (pl.) after verb;;;;;
ya tɩ;;expression;à;dire que (avec insistance ou dire souvent que);say that (insistingly or often say that);;;;;
ya tɩlɛ tɩ;;expression;;il faut que, on doit;it is imperative that, one must;ya tɩlae tɩ;;;;
yaa;1;Verbe;;être, c'est;to be, it is;ya;;;;
yaa;2;interj;à;particule utilisée pour maintenir la communication avec l'interlocuteur, «oh»;particle used to maintain the attention of the interlocutor, «right»;;;;;
yaa;3;Adverbe;;évoque ce qui est bâillant, grandement ouvert (bouche);indicates yawning, largely open (mouth);;;;;
yaab tʋb-ragẽega;;Nom;;arrière grand-parent;great-grandparent;;;Relationships;;
yaab tʋb-ragẽ-poaka;;Nom;;arrière grand-mère;great-grandmother;;;Relationships;;
yaab tʋb-ragẽ-raoogo;;Nom;;arrière grand-père;great-grandfather;;;Relationships;;
yaab willa;;Nom;á- ì-á;ascendance, généalogie;ancestry, genealogy.;;;;;
yaaba;;Nom;á-á;grand-parent, ancêtre, aïeul, ascendant;grandfather or grandmother, grandparent, ancestor;;yaab-rãmba;Relationships;;
yãabo;;Nom;á-ó;le fait de voir, vision;seeing, vision;;;;;
yaab-poaka;;Nom;á;grand-mère;grandmother;;yaab-pogse;Relationships;;
yaab-raoogo;;Nom;á;grand-père;grandfather;;yaab-raado;Relationships;;
yaab-yẽnde;;Nom;á;dent de sagesse;wisdom tooth;;yaab-yẽna;Body;yaang yẽnde;
yãade;;Verbe;á;marcher en écartant les jambes;walk having the legs far apart;;;;;
yaadem;;Nom;á;enjambée, écartement de jambe, envergure, largeur;stride, wingspan, scope, width, breadth, distance, broadness;;;;;
yãadem;;Nom;á-é;enfance;childhood, infancy;;;;;
yãadem datem-wẽnga;;expression;;passions de la jeunesse;passions of youth.;;;;;
yãadem-bila;;Nom;;enfant qui souffre de malnutrition due à un sevrage précoce et brusque;child suffering from malnutrition due to stopping breastfeeding too soon and too abruptly;;yãadem-biya;Disease;;
yaadga;;Nom;á-á;habitant du Yaatenga;habitant of the Yatenga region;;yaadse;Community;;
yaadɩ;;Nom;á-ɩ́;viande flasque;meat that is flabby, droopy.;;;;;
yaado;;Nom;à-ó;cimetière, tombes;cemetery, tombs;;;Body;;
yaadre;;Nom;á-é;langue parlée par les yaadsé, dialecte du mooré;Yaadre language, Moore dialect.;;;;;
yãadre;;Nom;á-é;enfantillage;childishness.;;;;;
yãad-tʋʋma;;Nom;;enfantin;childish, childlike.;;;;;
yaafa;;Nom;à-á;grâce, pardon;grace, pardon, forgiveness, sorry, excuse;;;;kabre, maan-m sugri;
yaafe;;Verbe;à;pardonner, laisser passer;pardon, not take into account, to excuse sb., let them go by;;;;maan sugri;
yaafo;1;Nom;á-ó;termite (espèce);termite sp;yiifu, yiuufu, yiuuri;yiu;Insect;yiifu;
yaafo;2;Nom;;éphémère;mayfly, ephemerides;yiuufu, yiifu;yiu, yiuwa, yu;Insect;yuufu;
yaaga;;Nom;á-à;panier, corbeille;basket;yãaga;yaase;Container;gũndgu, tɛɛga;
yãaga;1;Nom;ã́-à;gamin, enfant, gosse;brat, tiny tot, child, kid, brat;;yãase;;;
yãaga;2;Nom;á-à;petite natte servant à piéger les poissons;small mat used to catch fish;;yãase;Tool;;
yaage;1;Verbe;à;sortir une chose d'un liquide, enlever d'un liquide;to fish / scoop sth;;ya, yaase;;;
yaage;2;Verbe;á-è;écarter, espacer;to ward off, avoid, put aside, put away, open, space out;;yaase;;yange1;
yãage;2;Verbe;á-è;étirer une chose élastique, tirer;stretch an elastic thing, pull;;yã;;;
yaagre;1;Nom;á-é;le fait d'écarter;taking aside, putting away / aside, opening up.;;;;;
yaagre;2;Nom;à-é;le fait de sortir une chose d'un liquide;taking something out of a liquid.;;;;;
yãagre;;Nom;á-é;le fait d'accompagner;accompanying, escorting, coming along with.;;;;;
yaale;1;Verbe;à;réduire à la misère, perdre sa valeur;reduce to misery, lose the value;;;;;
yaale;2;auxiliaire;;cependant, et pourtant;however, even so, yet;;;;yaoole3;
yaalga;;Adjectif;á;sans valeur, sans dignité, sans importance, vulgaire;worthless, without dignity, unimportant, vulgar, coarse, no-good, no-count;;yaalse;;yalenga2;
yaalgo;;Nom;à-ó;le fait d'embêter;annoying, bothering;;;;;
yaal-yaale;;Adverbe;á;un petit peu, comme-ci comme-ça;a little bit, like this like that, back and forward;;;;yood-yoodo;
yaam-bila;;Nom;à-í;rein;kidney;;yaam-biisi;Body;yiimdi;
yaamde;1;Verbe;á-è;bâiller;to yawn;;yaamse, yaame;;;
yaamde;2;Verbe;à;détacher à l'endroit fourchu en tirant;detach at the forked place by pulling;;yaame;;;
yãamde;;Nom;á;plantes, feuilles cueillies, écorces dont on fait une décoction, décoction, tisane;plants, gathered leaves, bark of which one makes a brew, decoction;;;;;
yaam-sabga;;Nom;;espèce de plante;kind of plant;;;Grass, herb, vine;;
yaamse;1;Nom;á;fatigue;tiredness, fatigue, wariness;;;;;
yaamse;2;Verbe;à;dire «salut» pour saluer quelqu'un le soir ou quelqu'un que l'on revoit dans la même journée;Say «hi» to somebody in the evening or to somebody for the second time in the same day;;;;;
yaamse;3;expression;;salutation du soir ou à une deuxième rencontre;greeting for the evening or for a second encounter;;yaams-yaamse;;;
yaams-yaamse;;interj;;espèce de salutation (deuil);kind of greeting (bereavement).;;;;;
yãanem;1;Nom;;malnutrition due à un sevrage brusque par suite d'une nouvelle grossesse;malnutrition due to a sudden weaning in case of new pregnancy;yãadem;;Disease;;
yãanem;2;Nom;á;oxydation;oxidation.;;;;;
yaang yẽnde;;Nom;á;dent de sagesse;wisdom tooth;;;Body;yaab-yẽnde;
yaanga;1;Nom;á-à;Est, levant;east, Orient;;yaanse;;;
yaanga;2;Nom;á-à;fond;ground, far end, bottom;;yaanse;;;
yãanga;1;Adjectif;á-á;femelle adulte, femelle ayant mis bas;female (adult);;yãamse, yãanse;;;raoogo1
yãanga;2;Adjectif;á-á;grave, profonde (voix);deep (voice);;yãamse, yãanse;;;
yaangintĩimdi;;Nom;;horizon;horizon, skyline;;;Land;nenem toaaga, sa-gãn-noore;
yaare;1;Adverbe;à-é;par / au hasard, fortuitement;by chance, luck, at random;;;;;
yaare;2;Adverbe;;sans but précis, non planifié;aimlessly, unplanned;;;;;
yaare;3;Nom;;absence de gêne et de retenue, désordre, chaos;absence of discomfort and self-control,mess, untidiness, chaos;;;;;
yaare;2;Adjectif;à-é;sans gêne;without discomfort, without inhibition;;yaya;;;
yaare;3;Nom;à-è;petit marché;small market.;;yaar-dãmba;;;
yaarem;;Nom;;gros cristaux de sel;big salt crystals, rock-salt.;;;;;
yaas noore;;Verbe;;provoquer, importuner;provoke, pester;;;;no-baoosem;
yaase;1;Verbe;à;s'arrêter;stop, to pull up;yãase;;;yalse;"zaoonde; synonyme: yalse"
yaase;2;Verbe;;enlever d'un liquide;take away from a liquid;;;;ya4;
yãasenga;;Adjectif;à-è-á;rugueux, dentelé;rough in texture, coarse, indented;;yãasense;;;
yaas-gõmde;;Nom;á-ò-é;angle aigu;acute angle, pointed angle;;;Mathematics;;
yaasr sʋg-pʋɩtga;;Nom;á ʋ́-ʋ́ɩ-á;bissectrice;angle bisector, bisecting line of an angle;;;Mathematics;;
yaas-raeere;;Nom;á-àe-é;angle obtus;obtuse angle;;;Mathematics;;
yaasre;;Nom;á-é;fourche, endroit où prend naissance une branche;bifurcation, place where a branch goes away;;yaasa;Mathematics;;
yaas-sasre;;Nom;;angle plat;flat angle;;yaas-sasse;Mathematics;;
yaas-selle;;Nom;;angle droit;right angle;;;Mathematics;yaas-susga;
yaas-sus-bẽesdga;;Nom;;équerre;set-square;;;Mathematics;yaas-sus-makdga;
yaas-susg kog-tãabga;;Nom;;triangle rectangle;rectangular triangle;;;Mathematics;;
yaas-susga;;Nom;á;angle droit;right angle;;;Mathematics;yaas-selle;
yaas-sus-makdga;;Nom;á-ù-á-à;équerre;set-square;;;Mathematics;yaas-sus-bẽesdga;
yaas-susus yaremde;;Nom;á;rectangle;rectangle;;;Mathematics;;
yaas-tots rulga;;Nom;á ò ú-à;diagonale;diagonal;;;Mathematics;;
yaba;;Nom;;bananier;banana palm;;yabse;Tree;banand tɩɩga;
ya-bãka;;Nom;à-á;grand trou à la surface du tombeau;big hole at the surface of the tomb.;;ya-bãgse;;;
yab-biiga;;Nom;;banane;banana;;yab-biisi;Food;;
yãbe;;Verbe;á;pleurer, crier, bêler;weep, cry, bleat, complain;;;;;
yã-beed soaba;;Nom;;glouton;glutton.;;;;;
yã-beedo;;Nom;;gourmandise, gloutonnerie;greed, greediness, gluttony;;;;yãoodo1;
yãbga;;Nom;à-á;ceinture ornementale d'un danseur de «warba»;ornamental belt of «warba» dancer;;yãbse;Adornment;;
yãbge;;Verbe;;écarter;force apart, splay;;yãabe;;;
yãbre;1;Nom;;chancre;canker;;yãba;Disease;ãbre;
yãbre;2;Nom;á-è;pleurs, le fait de pleurer;crying, weeping;;;;kɛlenga, kũnkũma;
yãbse;;Verbe;;faire pleurer;to make sb;;;;;
ya-bulga;;Nom;à-ú;tombe étroite dont l'ouverture est circulaire;narrow tomb with circular opening.;;ya-bulsi;;;
yãda-yãda;;Adverbe;à;manière de marcher (comme un canard);manner of walking (like a duck);;;;pãa-pãa;
yadbre;;Adjectif;à;exagérément large (en parlant de la bouche);very wide (speaking of mouth);;yadba;;;
yadge;;Verbe;;étaler, mettre à sécher;spread, put to dry;yɛdge;;;rɩɩme, rɩɩme;
yãdge;2;Verbe;;aggraver;aggravate, worsen;;;Disease;;booge1, sãooge, yolse
yãdge;;Verbe;ã̀;attiser;fan the flames, feed (the fire);;;;;
yãdgre;;Nom;;aggravation;aggravation, amplification;;;Disease;;yolsgo
yae;;interrogatif;à;où?;where? Fo dabda yae? Où vas-tu? Where are you going?».;yɛ;;;;
yaẽ;;Verbe;;serait, était (irréel);would be, were;yaeẽ;;;;
yag zĩri;;expression;;mentir, dire un mensonge;to lie, to tell a lie;;;;;
yãga;;Adverbe;à;de manière cafouillé, enchevêtrée;messy, chaotic, confusing, entangled;;;;;
yag-biiga;;Nom;à-í;banane;banana;;yag-biisi;Food;;
yagbo;1;Nom;á-ò;mensonge, le fait de mentir;lie, lying;;;;pʋ-yagbo;
yagbo;2;Nom;á;façonnage de la poterie;fashioning pottery.;;;;;
yãgbo;1;Nom;á;le fait de se presser, vitesse;being in a hurry, speed;;;;;
yãgbo;2;Nom;á-ò;le fait de briller;shining.;;;;;
yãgbre;;Adverbe;á-é;rapidement, vite;rapidly, speedily, swiftly, fast, quickly;;;;;
yagda;1;Nom;á-á;menteur;liar;;yagdba;;ko-wãada, pʋ-yagda, zĩrẽ-be-neda;
yagda;2;Nom;;potière, potier;potter.;;yagdba;;;
yãgda;;Nom;;celui qui est trop pressé;the one who is in a hurry;;;;;
yãgdem;;Adjectif;;urgent, empressement;urgent;;yãgdɩ;;;
yagdga;;Nom;á;joue;cheek;yegdga, yɛgdga, yagdre;yagdse;Body;yegre1, yagre2, yɛgdga;
yagdo;1;Nom;á;poterie, argile;pottery, clay.;;;;;
yagdo;2;Nom;á;corpulence;corpulence, stoutness;;;;;
yagdre;;Adverbe;á-é;tôt le matin;early in the morning;;;;;
yage;1;Verbe;à;modeler, façonner la poterie, mouler;to pot, be a potter, mould clay pots, make pottery, to model;;;;;
yage;2;Verbe;á-è;mentir;lie, tell a lie, slander;;;;porme;
yãge;1;Verbe;á;briller beaucoup, éblouir, luire;to flash, make lightning, shine, glitter, dazzle, glow;;;;;
yãge;2;Verbe;à;dépêcher, être pressé, se presser, urger, hâter, précipiter;to be in a hurry, hasten, rush, be busy;;;;;
yãge;3;Verbe;á;clôturer;to enclose an area, closing in, make an enclosure (enclosed space);;;;;
yagemde;;Verbe;à;rester accroché;to hang, be hanging (as: on a hook), stay hooked on, remain hung up;;;;;
yãgemde;;Verbe;á-è;faire un éclair;to make a flash of lightning, flashing of lightning;;yãge;;;
yagenga;;Nom;á-é-á;descendant, petit-fils ou petite-fille, neveu, nièce;descendant, grandchild, grandson, nephew, niece;;yagense;Relationships;pʋɩgdenga;
yagen-taaga;;Nom;;personne ayant les mêmes grands-parents;person having the same grandparents.;;yagen-taase;;;
yagen-tʋb-ragẽega;;Nom;;arrière petit-enfant;great-grandchild;;;Relationships;;
yagen-tʋb-ragẽ-poaka;;Nom;;arrière petite-fille;great-granddaughter;;;Relationships;;
yagen-tʋb-ragẽ-raoogo;;Nom;;arrière petit-fils;great-grandson;;;Relationships;;
yagen-willa;;Nom;;descendance;descendant, offspring, descendants, successor;;;Relationships;yagense;
yagle;;Verbe;;accrocher, suspendre;to hang sth;;;;;yake1
yaglem;;Nom;à-é;voisinage;neighbourhood, vicinity, proximity;;;;yakemdo, yak-n-taaga;
yãgme;1;Verbe;à-è;amalgamer;amalgamate, mix, mingle, intermix;;;;;
yãgme;2;Verbe;à-è;marcher vite, accélérer;walk quickly, fast, speed up, accelerate;;;;;
yãgne;;Verbe;;être pressé, se presser;hurry up, rush, speed up, be busy.;;;;;
yãgnem-yãgnem;;Adverbe;à;d'un pas pressé;walking in a rush.;;;;;
yãgnem-yãgnem;2;Nom;;pluralité, pluriel;plurality, plural.;;;;;
yagre;2;Nom;á-è;joue;cheek;yegre;yaga;Body;yɛgdga, yagdga;
yãgre;;Nom;á-è;clôture, enclos;closing, enclosure, pen;;yãga;;bãgre1, zĩig sẽn gũbgi, wubri1;
yãgsa;;Nom;;vomissure;vomiting, vomit;;;;wʋbdo;
yã-gʋlenga;;Nom;;gros intestin;large intestine;;;Body;yã-raoogo;
yãg-yãge;;Adverbe;à;avec précipitation;hasty, in a rush;;;;;
yãg-zugu;;Nom;;sinusite;sinusitis;;;Disease;;
yãk noore;;expression;;décider;to decide, make up one's mind.;;;;;
yaka;1;Nom;à-á;voisin, ton prochain;neighbour, fellow human being;;yagse;;;
yaka;2;Nom;á;argile;clay;;;;;
yaka;3;Adjectif;á;fourchu;forked;;yagse;;;
yaka;4;Adjectif;á-à;nombreux;numerous, many, plenty, in numbers.;;;;;
yãka;;Nom;ã̀-á;gazelle à front roux;red-fronted gazelle;;yãgse;Mammal;;
yãk-beendem;;Nom;á-é-é;décomposition soustractive;subtraction decomposition;;;Mathematics;;
yake;1;Verbe;à;décrocher, enlever ce qui est suspendu;take down (sth;;yagse;;;yagle
yake;2;Verbe;à;se rejoindre, se recouper;rejoin;;;;;
yake;3;Verbe;;se lever tôt;get up early;yage;;;;
yãke;;Verbe;ã́-è;enlever une chose, trier, choisir, désigner, voter;take away one thing, choose, pick out, elect, select, sort out;;yãgse;;;
yakemde;1;Nom;á;écartement d'angle des pieds ou des mains;opening angle / distance between feet or hands;;yakma;;;
yakemde;2;Nom;á;syllabe;syllable;;;;;
yakemdo;;Nom;;voisinage, proximité;neighbourhood, vicinity, proximity;;;;yaglem;
yãkem-yãkem;;Adverbe;;bruit de mastication;noise of chewing / crunching;;;;;
yã-kinkirga;;Nom;à-ì-í-à;appendice;appendix, appendicitis.;;yã-kikirsi;;;
yak-n-taaga;;Nom;à-á-á;co-voisin;fellow neighbour;;yak-n-taase;;yaglem;
yak-n-taare;;Nom;à-á-é;cohabitation;flat share, share house / apartment / flat;;;;;
yako;;Nom;;forme;form, shape.;;;;;
yakre;;Nom;à-é;le fait d'enlever ce qui est suspendu;taking down something hooked up.;;;;;
yãkre;;Nom;á-é;le fait d'enlever une chose, retrait;taking one thing, withdrawal;;;;;
yalẽ;;Nom;à-é;nature, essence, caractère, âme;nature, essential, being, character, soul;;;;halhaale;
yalẽ wilgda;;Nom;à-é ì-á;adjectif qualificatif;adjective;yalg wilgda;;;;
yalem;1;Nom;á;un idiot;idiot, fool, silly person.;;;;;
yalem;2;Nom;à-é;largeur, étendue, superficie, surface;width, distance across, breadth, size, expanse, dimension, extent, surface.;yarem;;;;
yalemdo;;Nom;á-ó;sottise, idiotie, le fait d'être idiot, bêtise;foolery, silliness, folly, idiocy, stupidity;;;;zolemdo;
yalenga;1;Adjectif;à-á;large, étendu, vaste;broad, wide, spacious, vast, huge;;yalemse;;;
yalenga;2;Adjectif;á;sans valeur, sans importance;worthless, without importance, unimportant, no-good, no-count;;yalemse;;yaalga;
yalenga;3;Nom;à-é-á;adjectif;adjective;;yalense;Grammar;;
yaleng-yalenga;;Adverbe;á-é-á-é-á;facilement, sans complication, sans besoin d'aller loin;easy, without complication, no need to go far away.;;;;;
yalg wilgda;;Nom;á ì-á;organe de sens;sense organ, organ of perception, sensory organ;;;Body;;
yalga;;Nom;á-à;qualificatif;determinative, determiner.;;;;;
yalge;;Verbe;;élargir, agrandir;to widen sth., broaden, expand, enlarge, extend;;;;;
yalgenfo;;Nom;á;poisson (espèce);fish sp;yagemfo;yalgma;Fish;ka-noore;
yalgen-sablga;;Nom;;poisson (espèce);fish sp;;yalgen-sablse;Fish;;
yalle;;Nom;á;blatte, cafard;cockroach, beetle, roach;;yala;Insect;kakenyalle, kak-yalle;
yalma;;Nom;á-à;un idiot, bête;a fool, idiot, stupid person;;yalemse;;zalle2, zolgo, beoko2;
yalme;1;Verbe;á-è;maltraiter, martyriser, torturer;mistreat, ill-use, maltreat, torture;;;;;
yalme;2;Verbe;;être large, étendu, spacieux;to be wide, be large, vast, spacious;;;;;
yalme;3;Verbe;á-è;faire la misère, mener une vie de misère;live a miserable life, being miserable.;;;;;
yalse;;Verbe;à;se tenir debout;stand upright;;;;"yaase1; antonyme: zaoonde";zaoonde
yalsg zĩiga;;Nom;;lieu de stationnement;parking space, car park, parking lot, stationing.;;;;;
yalsgo;;Nom;à-ó;arrêt, le fait de s'arrêter, rupture, division, séparation brusque d'une chose solide;stopping, cessation, stop, breach;;;;;
yals-n-gɛsga;;Nom;;bilan;balance sheet, outcome, assessment, report;;;;laog-geelgo;
yam;1;Nom;á;intelligence, ruse, astuce, perspicacité, sagacité, sagesse, pensée;intelligence, wisdom, wile, craft, ruse, cleverness, dodge, perspicaciousness, knowingness, power of deduction, mind, sense, idea;;;;;
yam;2;Nom;á;vésicule biliaire, bile;gall bladder, bile;;;Body;;
yam bʋgsg soaba;;Nom;;sage;wise person.;;;;;
yam daabo;;Nom;;intention;intention.;;;;;
yam tʋntʋmda;;Nom;;intellectuel;intellectual;;;;yẽesem-dãmba, seb-mita;
yam wekr sõasga;;expression;;causerie-conscientisation;awareness talk;;;Language and thought;;
yam yiisgu;;Verbe;;dégoûter, faire perdre l’appétit, fait d’avoir marre;disgust, make loose one's appetite;;;;yidg yam1;
yama;;Adverbe;á;à côté, à proximité;next to, close by, near, nearness.;yambã, yambẽ;;;;
yãma;;Adverbe;;tout neuf;completely new;;;;yoama;
yãmaku;;Nom;;gingembre;ginger;yãama-ku;;Food, Grass, herb, vine;;
yãma-yãma;;Nom;à;ordures, saletés, bric-à-brac;thrash, rubble, waste, refuse, garbage, dirt, litter, lumber, rubbish, miscellaneous, odds-and-ends;yama-yama;;;;
Yãmb baoobã ka wom biis ye;;expression;;Votre recherche n'a donné aucun résultat;Your search yielded no results;;;computer / digital;;
Yãmb koɛɛgã tʋmame tɩ kẽnge;;expression;;Votre message a été envoyé;Your message has been sent;;;computer / digital;;
yamba;;Nom;à-á;esclave;slave;yɛmbga;yembse;;yɛmbga;
yãmba;;Pronom;ã́-à;vous;you (pl.) Yãmb n yeele;yãmb;;;;
yambẽ;;Adverbe;;à côté, à proximité;next to, near by, close by;yama;;;;
yãmbe;;Verbe;à;occuper, encombrer;occupy, to cause an obstruction;yãmbge;;;;
yãmbgo;;Nom;;occupation;occupation.;;;;;
yambo;;Nom;á;fourrage, foin;fodder, hay.;;;;;
yãmbse;1;Verbe;;vouvoyer;to address somebody formally;;;;;
yãmbse;2;Verbe;á-è;faire convoiter;cause to covet, hanker;;;;;
yam-dãmba;;Nom;;sages;wise people;;;;yẽesem-dãmba;
yam-daoogo;;Nom;;astuce (souvent pour avoir les autres);cleverness, artfulness, dodge, clever trick.;;;;;
yãmde;;Nom;á;chaîne, collier;chain, necklace.;;yãma;;;
yamdga;;Adjectif;á-á;intelligent, éveillé;intelligent, clever, awake;;yamdse;;;
