mot_moore;sens_num;categorie_grammaticale;prononciation;definition_francais;definition_english;variante;pluriel;domaine;synonymes;antonymes
bãgende;;Nom;á-é-é;arbuste (espèce) dont l'écorce fibreuse est utilisée comme cordelettes;shrub sp;bãgen-daaga;bãgena;Bush, shrub;;
bãgen-yãanga;;Nom;ã̀-á-á;arbre (espèce);tree sp;;bãgen-yãamse , bãgen-yãanse;Tree;;
bãg-faanga;;Nom;;bas-fond;marshy / swampy place;;;Land;bãoogo;
bãg-kɩdga;;Nom;;mare;pool, pond, swamp, marsh, small lake;;;;bãg-langa;
bãg-langa;;Nom;;mare;pool, pond, swamp, marsh, small lake;bãg-lɛnglga;;Water;bãg-kɩdga;
bagle;1;Verbe;á-è;pendiller, ballotter ça et là;dangle, quake, to rock, swing to-and-fro.;;;;;
bagle;2;Nom;à-é;oiseau (espèce d');bird (kind of).;;;;;
bãg-ma;;Nom;à-á;lac;lake.;;;;;
bãg-nodre;;Nom;ã̀-ó-é;furoncle de l'aisselle, abcès;carbuncle at armpit, abscess;;bãg-noda, bãg-noada;Disease;;
bã-gõodga;;Nom;;douleur qui change de place;hurting that changes places;;bã-gõodse;Disease;;
bãg-peoogo;;Nom;ã̀-é;omoplate;shoulder blade;;bãg-peedo;Body;zẽka2, lalenga1;
bãg-pʋga;;Nom;ã̀-ʋ́;aisselle;armpit;;bãg-pʋse;Body;;
bagre;;Nom;à-é;divination, pratique divinatoire;divination, soothsayer's work.;;;;;
bãgre;1;Nom;ã́-è;enclos pour animaux, parc, étable;kraal for animals, fence;;bãga;Animal husbandry;nag-reongo, yãgre, bãgre1, zĩig sẽn gũbgi;
bãgre;2;Nom;ã́-è;mamelle, pis;teat of animal udder;;bãga;Parts of an animal;;
bãg-tẽoko;;Nom;ã̀-ẽ́-ò;flaque d'eau;puddle;;bãg-tẽgse;;londã koom;
bãka;1;Nom;á;mare, endroit marécageux;pool, marsh, swamp, wetland, marshy place, pond, puddle;;bãgse;Water;bãoogo;
bãka;2;Nom;ã́-à;deuxième tour de culture pour un champ;second hoeing of a field;;bãgse;Agriculture;;
